"","year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
"147",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,3529,1949931,20210113,NA,"LIBERTARIAN"
"148",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,1092,1949931,20210113,NA,"OTHER"
"149",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","WRIGHT, MARGARET","PEOPLE'S",FALSE,635,1949931,20210113,NA,"OTHER"
"150",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","LAROUCHE, LYNDON, JR.","INTERNATIONAL DEVELOPMENT BANK",FALSE,543,1949931,20210113,NA,"OTHER"
"151",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","JULIUS """"JULES"""", LEVIN","INDUSTRIAL GOVERNMENT PARTY",FALSE,370,1949931,20210113,NA,"OTHER"
"152",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","ZEIDLER, FRANK","SOCIALIST",FALSE,354,1949931,20210113,NA,"OTHER"
"153",1976,"MINNESOTA","MN",27,41,33,"US PRESIDENT","","",TRUE,342,1949931,20210113,NA,"OTHER"
"154",1976,"MISSISSIPPI","MS",28,64,46,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,381329,768390,20210113,NA,"DEMOCRAT"
"155",1976,"MISSISSIPPI","MS",28,64,46,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,366846,768390,20210113,NA,"REPUBLICAN"
"156",1976,"MISSISSIPPI","MS",28,64,46,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,6678,768390,20210113,NA,"OTHER"
"157",1976,"MISSISSIPPI","MS",28,64,46,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,4074,768390,20210113,NA,"OTHER"
"158",1976,"MISSISSIPPI","MS",28,64,46,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,4049,768390,20210113,NA,"OTHER"
"159",1976,"MISSISSIPPI","MS",28,64,46,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,2805,768390,20210113,NA,"OTHER"
"160",1976,"MISSISSIPPI","MS",28,64,46,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,2609,768390,20210113,NA,"LIBERTARIAN"
"161",1976,"MISSOURI","MO",29,43,34,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,998387,1953600,20210113,NA,"DEMOCRAT"
"162",1976,"MISSOURI","MO",29,43,34,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,927443,1953600,20210113,NA,"REPUBLICAN"
"163",1976,"MISSOURI","MO",29,43,34,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,24029,1953600,20210113,NA,"OTHER"
"164",1976,"MISSOURI","MO",29,43,34,"US PRESIDENT","OTHER","",FALSE,3741,1953600,20210113,NA,"OTHER"
